"DISTRICT","ZIPCODE","LATITUDE","LONGITUDE","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
13,11238,40.678584,-73.96634,62.7,56709.1447189324,2,1,82,9,1,97,4,89,92,83,87,86,93,9.09090909090909,7.79220779220779,6.49350649350649,87,2.6,2.74,23.9758291743609,14.370270985129,44.6483180428135,54,0,0
12,10457,40.84385,-73.890063,86.9,23881.24,24,0,15,84,1,92,30,87,79,86,65,82,81,3.50877192982456,0,0,85,2.22,2.36,24.6315789473684,13,52.5083612040134,7,0,0
10,10468,40.859506,-73.900475,88.6,34462.3876876122,32,2,12,85,1,92,27,92,91,87,90,80,93,0,0,0,181,2.24,2.15,25.7826086956522,10.5,43.4470377019749,45,0,0
12,10457,40.848711,-73.888912,82.3,29954.4419285714,8,1,30,67,1,90,37,81,92,80,89,78,92,6.25,0,5,73,2.25,2.19,19.9047619047619,14.7,52.6785714285714,11,0,0
5,10030,40.814412,-73.945122,74.6,41995.4931152013,6,1,64,33,1,94,17,86,89,78,83,85,89,4.90196078431373,2.94117647058824,2.94117647058824,107,2.37,2.74,23.2097725281438,13.2165916530705,50.845665961945,21,0,0
25,11355,40.760344,-73.817909,63,41986.6416599499,24,69,3,25,3,97,5,94,94,88,88,69,90,26.3392857142857,0,14.2857142857143,248,2.64,2.98,26.016,15.4,49.5460440985733,97,17,1
5,10027,40.81064,-73.955847,50.7,40966.580781331,0,12,21,44,20,98,1,87,92,88,90,84,93,70.7865168539326,17.9775280898876,21.3483146067416,97,3.47,3.73,25.9,15.9,51.7094017094017,42,23,1
5,10035,40.806204,-73.94102,75.7,35109.03,3,0,84,13,0,95,14,86,85,80,80,83,88,15.1898734177215,15.1898734177215,13.9240506329114,76,2.57,3.13,23.6093858080595,14.1788427406682,51.5361744301288,18,0,0
17,11213,40.672272,-73.937164,79.2,34070.0980426721,11,3,78,13,3,92,27,99,97,96,95,88,98,14.5161290322581,9.67741935483871,11.2903225806452,71,2.69,2.64,20.2678571428571,9.6,51.9685039370079,18,0,0
11,10469,40.86429,-73.836566,71.4,44832.2805219699,7,2,67,27,2,92,31,84,91,87,88,78,94,0.704225352112676,0.704225352112676,0.704225352112676,162,2.29,2.22,24.7066666666667,12.3,49.6674057649667,31,0,0
12,10460,40.836839,-73.887671,85.3,27928.2114216482,11,1,26,72,1,87,48,85,91,84,92,75,93,3.7037037037037,0,3.7037037037037,88,2.23,2.16,21.3220338983051,10.5,51.4157973174367,14,0,0
21,11223,40.598888,-73.974233,70.7,47946.7266841882,3,9,40,32,16,95,28,86,89,82,85,84,92,10.7142857142857,2.38095238095238,7.14285714285714,90,2.52,2.81,21.4758576188091,13.157730591215,44.3125618199802,22,0,0
10,10467,40.876823,-73.88124,82.7,35210.8463744244,31,13,13,67,5,89,38,87,79,81,70,74,84,4.09090909090909,0.454545454545455,4.09090909090909,232,2.16,2.07,25.6082474226804,13.2,44.4283646888567,51,0,0
8,10455,40.815971,-73.901686,76.4,29665.65,5,0,33,64,1,95,14,90,95,89,88,90,94,9.09090909090909,0,8.08080808080808,94,2.67,2.87,27.0639254936667,14.7856501295146,98.2587064676617,40,0,0
23,11233,40.678113,-73.915211,68.2,38344.1829693373,1,1,88,6,1,97,0,93,92,84,90,87,92,21.3333333333333,17.3333333333333,18.6666666666667,79,2.63,3,24.7255818127508,14.6342919696551,55.786350148368,46,0,0
29,11434,40.691665,-73.778987,41.9,112521.018225352,0,1,86,3,3,93,27,81,66,81,61,84,80,2.8169014084507,2.8169014084507,1.40845070422535,74,2.41,2.42,22.3809523809524,17.1,0,0,0,0
20,11204,40.634787,-73.981631,79.2,31890.3731554946,31,61,4,27,7,96,12,85,88,86,82,72,90,23.1270358306189,0.325732899022801,21.8241042345277,324,2.43,2.89,22.5081967213115,13.5,46.5263157894737,142,19,1
11,10467,40.880634,-73.860155,77.1,43390.52975,19,4,50,40,3,88,46,93,88,81,88,77,91,3.125,3.125,3.125,128,2.13,2.06,23.2840909090909,9.5,42.75,29,0,0
4,10029,40.792304,-73.951449,75.1,31078.32,3,5,25,63,4,94,19,92,83,95,71,87,89,26.3736263736264,2.1978021978022,16.4835164835165,92,2.85,3.08,34.4242424242424,15.2,51.8620689655172,43,0,0
9,10452,40.834312,-73.930213,79.8,26912.82,13,0,40,57,1,96,5,77,77,87,70,85,91,3.77358490566038,0,0,50,2.3,2.46,24.2587319593846,12.9345831444284,51.3461538461538,15,0,0
13,11216,40.678907,-73.9465,68.9,52376.9860121951,2,1,78,19,1,91,33,84,88,75,85,85,92,4.8780487804878,0,4.8780487804878,67,2.23,2.1,17.4848484848485,10,44.375,8,0,0
18,11203,40.647443,-73.920775,60.6,48280.0828361727,1,0,94,5,1,92,26,89,84,80,82,73,81,3.7914691943128,3.3175355450237,2.3696682464455,191,2.48,2.3,25.4415584415584,13.5,54.2042042042042,45,0,0
16,11221,40.691976,-73.931488,75.9,44076.8921491464,7,1,76,21,2,91,27,87,87,84,76,80,88,4.76190476190476,2.38095238095238,4.76190476190476,62,2.18,2.13,15.2291666666667,9.9,44.0251572327044,20,0,0
24,11379,40.719517,-73.875034,34.8,67367.55,7,16,0,25,57,96,9,92,93,88,86,81,94,24.4274809160305,0,9.09090909090909,133,2.97,3.09,31.1607142857143,16.9,49.9137931034483,43,14,1
18,11236,40.63522,-73.910912,59,58241.7161806433,15,1,90,5,3,92,25,81,88,77,75,77,88,0.793650793650794,0.793650793650794,0.793650793650794,143,2.22,2.14,21.0769230769231,10.9,46.9026548672566,16,0,0
4,10035,40.800631,-73.939323,89.9,24553.59,12,3,30,62,4,90,34,90,86,83,82,84,87,0,0,0,51,2.43,2.52,14.9473684210526,10.7,48.7394957983193,0,0,0
4,10029,40.792935,-73.947168,72.2,-2644.20657142857,2,9,25,60,4,95,16,90,97,87,92,72,94,14.2857142857143,0,0,50,2.69,2.54,25.0294117647059,15.6,100,8,0,0
15,11231,40.680431,-73.991704,68.4,55657.667100038,7,6,26,47,19,92,27,84,90,85,83,82,92,10.9090909090909,3.77358490566038,7.27272727272727,79,2.36,2.3,20.7777777777778,7.9,35.9832635983264,25,0,0
29,11413,40.664858,-73.759088,54.7,56861.6192012669,3,1,91,6,1,92,27,81,85,84,87,75,90,6.95652173913043,6.95652173913043,6.08695652173913,100,2.24,2.13,21.8627450980392,14.7,49.6688741721854,9,0,0
19,11208,40.685841,-73.869429,81.8,35808.6935523139,13,2,17,78,0,91,43,87,92,85,87,74,91,0.99009900990099,0,0.980392156862745,96,2.34,2.14,19.4444444444444,15.2,46.3949843260188,10,0,0
27,11691,40.603951,-73.749868,75,46692.0752331355,19,1,64,33,1,93,26,95,95,92,94,86,96,1.08695652173913,1.08695652173913,0,121,2.16,2.18,20.1134020618557,12.4,46.7966573816156,37,0,0
9,10457,40.839654,-73.911386,80.1,31532.7284147376,6,8,33,57,1,96,11,90,92,82,81,81,91,6.97674418604651,0,6.97674418604651,48,2.57,2.53,18.7027027027027,13.8,54.5034642032333,10,0,0
5,10027,40.810555,-73.948862,75.5,40004.7823993786,6,0,66,31,1,94,19,97,99,88,97,83,95,9.27835051546392,5.15463917525773,6.18556701030928,106,2.6,2.82,23.9640284733562,13.745377044055,48.972602739726,26,0,0
25,11358,40.765017,-73.789689,33.6,73720.0968419882,10,50,1,24,24,97,6,87,85,85,75,69,87,31.203007518797,0,17.6691729323308,329,2.95,3.23,29.3714285714286,21.1,44.7470817120623,147,29,1
10,10463,40.883022,-73.891672,78.6,42357.53,19,7,17,70,4,92,29,85,71,84,63,87,82,6.61764705882353,1.49253731343284,5.14705882352941,161,2.41,2.41,26.7922077922078,15.1,48.6024844720497,42,0,0
5,10030,40.817282,-73.947238,85.2,34100.3773191489,14,6,53,39,1,90,35,77,81,81,69,83,84,0,0,0,44,2.16,1.89,16.375,8.4,49.645390070922,0,0,0
15,11215,40.660969,-73.989018,38.1,52647.6978931475,1,6,13,35,45,95,10,93,94,86,89,83,93,29.8780487804878,4.26829268292683,5,184,3.1,3.11,31.1621621621622,16.2,72.1340388007055,94,19,1
19,11207,40.677777,-73.886699,82.4,38667.98,41,1,3,95,0,95,10,83,85,91,72,85,90,2.04081632653061,0,0,54,2.2,2.27,20.8947368421053,10.9,50.109409190372,17,0,0
29,11428,40.72073,-73.731394,41.9,67828.27,11,38,25,28,5,96,7,95,85,87,69,81,82,30,4,19.2982456140351,62,2.82,2.85,24.7142857142857,12.5,45.5645161290323,27,0,0
27,11414,40.657832,-73.844039,19.1,80373.95,0,3,2,19,75,95,11,91,91,88,82,80,92,27.1428571428571,0,8.57142857142857,83,2.87,3.06,24.3636363636364,10.5,48.9705882352941,14,0,0
10,10467,40.877179,-73.881546,83.7,37116.54,12,11,9,74,5,93,22,95,92,96,84,81,94,6.25,0,0,101,2.48,2.66,24.6153846153846,13.6,47.8310502283105,41,0,0
3,10025,40.802678,-73.96595,73.9,48783.74,17,3,14,68,13,91,29,87,82,87,73,86,85,6.12244897959184,0,6.12244897959184,53,2.37,2.41,22.9666666666667,11.1,48.6754966887417,7,0,0
21,11223,40.600816,-73.976838,63.6,48166.6643274514,11,29,8,26,36,95,16,92,94,88,89,74,93,16.5029469548134,0.398406374501992,13.5559921414538,420,2.62,2.8,25.8893805309735,14.5,48.5888634630053,160,17,1
29,11413,40.681888,-73.753044,46.8,66761.9399537168,2,1,91,5,1,93,20,94,87,81,79,78,85,4.26829268292683,3.65853658536585,3.04878048780488,196,2.38,2.3,25.6336633663366,17.4,49.4880546075085,56,0,0
7,10454,40.810207,-73.91839,88.5,27997.4511764706,10,1,26,72,1,92,29,90,88,87,88,79,91,14.7058823529412,0,0,95,2.36,2.72,20.4,14.1,43.6666666666667,31,0,0
10,10453,40.854751,-73.905024,91.8,26313.1,29,3,17,79,0,93,26,90,92,88,89,87,93,3.63636363636364,0,2.72727272727273,139,2.26,2.33,26.1791044776119,14.1,46.8864468864469,38,0,0
21,11223,40.608787,-73.964587,80,44760.9,27,17,4,56,22,94,18,88,91,89,77,82,92,3.57142857142857,0,3.57142857142857,61,2.42,2.49,19.7777777777778,13.4,47.7905073649754,14,0,0
14,11206,40.703878,-73.953472,86.8,31274.9065529452,22,1,15,78,5,90,35,88,92,82,88,77,91,3.03030303030303,0,1.51515151515152,85,2.06,1.99,17.8958333333333,8.6,46.6292134831461,0,0,0
28,11375,40.723014,-73.851845,37.2,74986.6467009958,8,33,7,28,29,95,12,86,81,80,72,70,82,27.247191011236,0.284090909090909,8.42696629213483,351,2.85,3.03,29.0810810810811,19,47.1090047393365,172,53,1
4,10029,40.795537,-73.944526,74.1,30585.6,3,3,56,38,1,87,30,93,96,88,90,88,96,18.1818181818182,6.06060606060606,12.1212121212121,22,2.91,2.94,23.3715041690001,14.6104694688817,48,7,0,0
18,11236,40.648646,-73.906851,52.6,56939.68,2,1,88,7,3,95,12,81,78,84,77,84,87,12.5,12.5,6.25,102,2.5,2.69,27.6323529411765,15.7,51.7031630170316,37,0,0
23,11233,40.677642,-73.908695,87.7,36518.6,13,2,50,46,1,88,43,91,96,86,88,86,95,2.77777777777778,0,2.77777777777778,33,2.14,2.15,21.6666666666667,12.9,50,8,0,0
28,11435,40.710509,-73.811875,62.8,55017.9234747298,18,37,13,41,6,93,19,91,95,87,90,75,94,9.90476190476191,0.200400801603206,6.28571428571429,562,2.64,2.64,25.1134020618557,16.8,46.3803680981595,175,24,1
17,11226,40.648365,-73.953433,70.8,48377.1842469734,21,1,75,21,2,91,32,84,78,80,73,79,84,0.847457627118644,0.847457627118644,0,152,2.24,2.03,22.95,13.7,46.2469733656174,24,0,0
19,11208,40.6573,-73.874138,70.5,35699.0616483516,1,1,72,24,1,90,39,71,85,78,87,75,92,1.53846153846154,0,0,72,2.16,1.98,23.875,11.4,60.6227106227106,7,0,0
12,10459,40.823187,-73.897385,74.8,28271.22,8,1,35,62,0,95,14,82,86,79,85,77,86,4.54545454545455,0,4.54545454545455,37,2.33,2.54,23.6931933728462,12.446945496439,54.4615384615385,0,0,0
21,11224,40.57427,-73.992477,91.2,22422.66,7,2,53,36,7,89,46,83,86,80,82,81,89,4.34782608695652,2.17391304347826,4.34782608695652,51,2.19,2.2,18.7142857142857,12.2,48.2654600301659,0,0,0
23,11212,40.666934,-73.90761,90.6,20931.74,9,0,69,30,1,89,40,90,87,86,80,90,92,0,0,0,50,2.08,2.09,21.25,12.4,50.6329113924051,9,0,0
5,10027,40.814981,-73.952121,85.4,31077.89,11,2,42,51,1,92,33,90,91,82,76,81,89,0,0,0,55,2.38,2.29,21.2307692307692,13.2,44.5977011494253,21,0,0
3,10026,40.803013,-73.948255,71.2,39861.23,3,1,74,21,1,0,100,96,93,83,84,94,89,68.3544303797468,56.9620253164557,50.6329113924051,101,3.06,3.79,17.6899036401407,14.3821956276148,52.1482729570345,35,0,0
13,11238,40.684336,-73.960549,78,41573.2461073825,16,15,68,14,3,90,37,75,88,68,89,86,87,0,0,0,45,2.21,2.07,23.1851851851852,9.5,50.3355704697987,21,0,0
4,10029,40.79259,-73.942119,43.5,48431.58,0,34,25,19,15,97,5,92,92,91,86,87,90,73.6842105263158,14.0350877192982,37.5,56,3.64,3.89,27.1428571428571,24.2,48.381601362862,54,27,1
9,10452,40.838201,-73.928084,88.6,29692.2200218304,20,1,25,73,1,94,20,94,93,94,94,85,95,2.56410256410256,0,0,132,2.27,2.17,23.9885057471264,10.3,50.8816120906801,18,0,0
6,10032,40.839408,-73.935772,78,33657.2030681818,13,0,12,86,1,96,8,91,96,90,92,89,96,21.875,0,18.75,82,2.56,2.86,24.6046903263031,13.9676359558504,50.6060606060606,19,0,0
32,11237,40.706871,-73.92002,84.5,31773.8816030534,21,2,3,92,2,91,31,89,83,84,78,77,86,0.763358778625954,0,0.763358778625954,161,2.23,2.23,22.289156626506,10.1,50,8,0,0
20,11209,40.633733,-74.02422,65.1,50776.12,26,20,2,30,48,95,13,87,88,87,81,76,90,16.9230769230769,0,11.5384615384615,124,2.71,2.81,27.6428571428571,14.4,46.3227222832053,51,6,1
4,10029,40.794167,-73.932694,84.2,34868.2728333333,9,5,29,64,1,93,23,84,87,85,84,80,92,6.66666666666667,2.66666666666667,6.66666666666667,55,2.24,2.15,20.2549019607843,12.1,44.7916666666667,20,0,0
31,10301,40.608441,-74.105262,36.6,67750.03,1,8,20,22,48,95,10,93,92,87,90,80,92,13.4831460674157,0,5.61797752808989,93,2.83,2.88,25.8181818181818,15.3,46.991622239147,22,0,0
11,10461,40.856635,-73.843042,65.4,38268.68,0,2,61,33,1,95,33,96,98,87,91,90,95,55.5555555555556,33.3333333333333,33.3333333333333,33,3,3.52,23.17589112,15.367203777716,52.8125,29,0,0
3,10026,40.802284,-73.95408,78.6,47379.695953775,8,2,68,27,1,88,34,76,76,81,72,76,84,4.54545454545455,0,0,9,2.32,2.22,13,11.1,34.4632768361582,0,0,0
8,10472,40.824884,-73.873517,87.6,26654.5056452791,24,1,21,78,0,91,28,67,64,78,53,71,69,3.7037037037037,0,2.67857142857143,88,2.15,1.98,23.7377049180328,11.5,48.169014084507,11,0,0
12,10460,40.836359,-73.89275,85.2,30147.6676170068,10,1,25,71,1,93,24,87,84,80,74,77,82,2.73972602739726,0,2.73972602739726,78,2.25,2.22,20.5416666666667,11.6,50.207468879668,19,0,0
8,10474,40.815594,-73.885238,87.6,35772.3908543689,27,0,21,77,1,90,35,83,74,83,73,82,86,0,0,0,110,2.11,2.02,19.9782608695652,10.9,44.0129449838188,0,0,0
2,10010,40.735735,-73.980611,52.2,55823.9523442644,5,40,8,21,28,96,11,87,89,85,84,70,92,40.3693931398417,0.263852242744063,16.622691292876,386,3.05,3.25,29.0691823899371,16.5,46.6490299823633,260,53,1
27,11414,40.66585,-73.851027,36.9,59294.44,3,11,9,41,37,95,14,93,91,93,84,80,93,20.5882352941176,2.94117647058824,11.7647058823529,102,2.87,2.97,24.9259259259259,15.5,49.0721649484536,33,0,0
9,10456,40.832278,-73.914142,87.7,32358.829027027,37,1,25,72,1,90,34,85,82,82,76,77,88,0,0,0,149,2.05,1.91,25.5714285714286,9.2,45.7207207207207,24,0,0
6,10034,40.871646,-73.911618,82.3,44006.21,44,0,1,97,2,93,23,92,87,86,79,85,90,5,0,2.5,52,2.1,2.36,16,12.9,46.742209631728,6,0,0
6,10040,40.86082,-73.930066,84,39451.7641649899,49,0,2,93,3,92,24,91,81,90,75,84,89,5.63380281690141,0,0,66,2.09,2.09,17.5862068965517,10.1,41.7142857142857,0,0,0
17,11212,40.665446,-73.925681,73.5,36588.31,16,2,72,25,0,94,18,94,91,87,83,82,90,17.6470588235294,13.7254901960784,14.7058823529412,120,2.66,2.91,25.2058823529412,14.6,51.3282732447818,49,0,0
26,11362,40.762437,-73.734426,20.9,91628.9145704698,2,62,3,12,23,98,4,87,87,83,73,73,83,37.5,0,15.0862068965517,309,3.27,3.66,29.0354609929078,17,48.6577181208054,211,82,1
11,10462,40.834056,-73.858543,56.6,43325,8,21,44,34,0,97,4,95,96,91,92,86,94,25.5555555555556,3.33333333333333,22.2222222222222,90,2.97,3.25,26.3987317995649,15.9125515874506,52.5339925834363,65,0,0
29,11412,40.689348,-73.763541,40.7,70521,1,0,92,7,0,97,3,91,83,82,69,99,84,8.92857142857143,8.92857142857143,8.92857142857143,78,2.71,2.93,24.1838652757875,15.5757395890309,50.9032943676939,33,0,0
19,11208,40.685841,-73.869429,78.8,33787.1199764803,22,4,14,77,1,92,26,93,94,85,86,76,93,7.63358778625954,0.763358778625954,6.87022900763359,151,2.27,2.2,22.6022727272727,14.5,50.2252252252252,11,0,0
25,11367,40.735855,-73.823583,45.7,61994.44,15,44,9,32,16,96,13,91,86,90,82,78,88,30.5555555555556,0,22.2222222222222,74,2.71,2.97,17.5263157894737,9.3,48.2866043613707,29,7,1
10,10468,40.859506,-73.900475,88.1,29246.7351007194,26,2,12,84,1,92,27,77,78,83,71,78,83,0.961538461538462,0,0,102,2.14,1.97,22.9333333333333,11.5,49.2805755395683,10,0,0
32,11237,40.697892,-73.919072,64.3,43822.0984481922,2,5,43,50,1,96,10,89,90,85,84,77,92,17.0648464163823,5.80204778156997,11.6040955631399,285,2.9,2.72,24.7032258064516,14.3,50.5166475315729,179,0,0
24,11379,40.711906,-73.871298,50,62298.87,8,3,1,50,46,92,33,90,71,88,59,84,80,16.6666666666667,0,9.52380952380952,75,2.7,2.72,18.1818181818182,12.4,47.3597359735974,12,0,0
16,11221,40.688119,-73.924441,68,40473.95,2,2,84,11,1,94,18,93,93,84,88,89,88,20.2702702702703,14.8648648648649,9.45945945945946,109,2.99,3.48,25.5156901334788,16.2319167362847,77.7478084962913,59,0,0
28,11432,40.71855,-73.805991,41,42438.6263536639,0,47,35,11,3,98,1,85,59,82,45,66,64,66.2790697674419,12.7906976744186,48.8372093023256,83,3.43,3.53,31.3958333333333,18.3,54.7169811320755,61,23,1
9,10456,40.827748,-73.913773,93.8,28320.6958512397,25,1,33,65,0,90,38,90,93,84,82,80,89,0,0,0,74,2.1,2,24.8936170212766,11.6,45.0413223140496,21,0,0
11,10475,40.874988,-73.832178,53.4,59717.3833221162,3,5,63,26,4,93,21,87,90,86,84,77,91,14.2857142857143,8.91472868217054,10.8108108108108,290,2.66,2.67,23.4900662251656,14.5,46.6591166477916,124,8,1
30,11103,40.759518,-73.912499,60.5,49812.331472212,12,23,6,52,18,94,15,93,95,88,88,70,93,13.8181818181818,0,7.27272727272727,250,2.59,2.76,24.1310344827586,14.5,45.4790823211876,56,0,0
2,10044,40.763969,-73.948468,29.3,93388.06,7,29,16,14,36,95,10,93,95,89,88,89,92,4,0,4,21,2.9,3.01,21.5333333333333,15.5,50.974025974026,6,0,0
19,11208,40.6573,-73.874138,77.7,42056.3045104603,3,1,72,24,1,91,31,88,96,85,94,77,93,0,0,0,69,2.27,2.1,26.9166666666667,10.8,45.397489539749,6,0,0
7,10456,40.818906,-73.905333,88.2,28411.4075544697,23,0,26,72,1,90,37,82,92,75,92,75,91,1.14942528735632,0,1.14942528735632,84,2.14,1.97,18.7884615384615,9.3,48.582995951417,9,0,0
8,10465,40.827214,-73.829212,48.9,50155.9908291956,1,14,10,56,20,95,15,89,86,88,85,73,89,31.3725490196078,0,18.9542483660131,147,2.89,2.74,25.0238095238095,13.9,53.2319391634981,66,7,1
10,10457,40.854655,-73.897036,91.1,30006.2228238993,36,1,25,72,1,90,35,86,84,82,78,80,88,4.16666666666667,0,3.57142857142857,190,2.09,1.98,22.9891304347826,11.2,43.9622641509434,17,0,0
1,10002,40.71987,-73.977376,73.3,35223.3,2,2,45,49,2,94,18,90,93,85,88,87,90,15.5555555555556,2.22222222222222,13.3333333333333,54,2.72,2.83,26.3618700737921,14.6413151636884,99.6941896024465,16,0,0
18,11236,40.647417,-73.891766,53.4,62202.4362611407,2,1,92,7,1,95,13,85,81,78,77,81,84,4.26829268292683,3.65853658536585,2.4390243902439,137,2.47,2.37,22.1463414634146,11.2,48.8721804511278,42,0,0
22,11210,40.623798,-73.946824,61,52454.98824953,8,18,63,12,7,95,15,88,87,80,81,77,91,4.11985018726592,2.62172284644195,3.2967032967033,268,2.51,2.48,26.0252100840336,14.1,50.2018842530283,74,0,0
18,11212,40.65785,-73.920032,77.8,37359.5964713783,6,0,88,6,1,92,26,84,82,82,84,79,84,1.88679245283019,0,1.88679245283019,60,2.29,2.18,17.7674418604651,9.6,51.4124293785311,11,0,0
