"DISTRICT","ZIPCODE","LATITUDE","LONGITUDE","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
6,10040,40.86082,-73.930066,84,39451.7641649899,49,0,2,93,3,92,24,91,81,90,75,84,89,0,0,66,2.09,2.09,17.5862068965517,10.1,41.7142857142857,0,0,1
4,10035,40.799315,-73.933952,72.2,30184.66,5,0,65,33,1,95,14,86,86,80,81,81,90,10,16.6666666666667,56,2.36,2.72,23.0773485146598,13.0187002064565,51.2758201701094,10,2,0
23,11233,40.673118,-73.920067,84.4,36035.1986474677,4,1,84,13,1,90,36,97,100,100,98,95,100,5.26315789473684,5.26315789473684,46,2.32,2.17,23.2121212121212,11.1,51.5723270440252,7,0,1
6,10032,40.836912,-73.937412,83.4,41480.6679737991,36,1,12,85,1,87,43,91,87,88,86,84,90,0,0,94,1.98,1.97,18.82,8.4,42.7947598253275,9,0,1
19,11208,40.6573,-73.874138,77.7,42056.3045104603,3,1,72,24,1,91,31,88,96,85,94,77,93,0,0,69,2.27,2.1,26.9166666666667,10.8,45.397489539749,6,0,1
23,11233,40.680262,-73.91115,83.7,31173.8525263158,6,1,78,19,2,92,31,95,98,91,96,86,97,0,0,35,2.09,1.96,18.8,7.8,56.8421052631579,12,0,1
23,11233,40.678113,-73.915211,77.1,35748.6185,2,2,87,12,0,89,44,98,99,87,97,87,95,5,5,61,2.3,2.08,18.2857142857143,13.5,56.875,9,0,1
12,10459,40.822084,-73.894038,86.8,36097.1109843512,33,2,16,80,1,92,23,74,73,80,70,77,85,0,1.14942528735632,72,2.04,1.97,21.7777777777778,10,41.3654618473896,10,0,1
27,11414,40.66585,-73.851027,36.9,59294.44,3,11,9,41,37,95,14,93,91,93,84,80,93,2.94117647058824,11.7647058823529,102,2.87,2.97,24.9259259259259,15.5,49.0721649484536,33,7,0
12,10460,40.839183,-73.88028,86.7,26979.39,10,2,25,70,1,91,33,85,89,82,86,78,90,1.52671755725191,8.3969465648855,151,2.24,2.36,28.4533333333333,13.7,49.165120593692,28,3,0
17,11213,40.672706,-73.92893,78,35280.22,4,1,89,8,1,94,17,80,72,80,56,83,75,8.92857142857143,7.14285714285714,61,2.28,2.37,21.4574341242945,13.2631362460426,44.7418738049713,26,2,0
6,10027,40.816172,-73.952104,72.4,27486.1704654152,4,1,9,84,4,94,16,92,88,87,80,73,90,0,13.5802469135802,87,3.01,3.12,22.6849315068493,13,59.5890410958904,81,14,0
4,10029,40.785868,-73.940587,89,30295.44,10,1,45,53,0,87,49,87,74,89,67,79,84,0,0,22,2.1,2.07,24.6666666666667,8.5,48.207171314741,7,0,1
8,10465,40.826997,-73.818271,63.9,55324.7665679758,6,4,10,69,18,92,31,74,80,81,57,78,81,0,0,115,2.28,2.22,21.830985915493,12.6,45.619335347432,21,0,1
23,11212,40.672333,-73.906225,74.5,37886.74,3,0,84,13,1,95,16,96,95,87,91,90,91,21.9178082191781,30.1369863013699,84,2.89,3.59,23.1865936777037,15.702279879857,51.067463706234,43,15,0
21,11214,40.604847,-73.994746,60.8,46865.8055805149,13,18,3,29,49,95,16,85,75,82,69,67,78,0,5.63380281690141,99,2.77,2.67,25.7241379310345,15.7,50.2123142250531,19,2,0
9,10452,40.838201,-73.928084,88.6,29692.2200218304,20,1,25,73,1,94,20,94,93,94,94,85,95,0,0,132,2.27,2.17,23.9885057471264,10.3,50.8816120906801,18,0,1
6,10034,40.871567,-73.912337,60.4,50767.71,12,2,3,77,17,95,13,97,96,94,90,86,96,0,21.875,65,2.76,2.86,25.6285714285714,16.5,52.9516994633274,24,8,0
20,11204,40.62659,-73.989464,70.6,39390.34,23,43,1,28,27,97,9,93,94,86,89,80,93,0,33.3333333333333,175,2.74,3.03,23.7,13.7,46.4788732394366,113,38,0
