"DISTRICT","ZIPCODE","LATITUDE","LONGITUDE","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
6,10032,40.836912,-73.937412,83.4,41480.6679737991,36,1,12,85,1,87,43,91,87,88,86,84,90,0,0,94,1.98,1.97,18.82,8.4,42.7947598253275,9,0,1
21,11223,40.598888,-73.974233,70.7,47946.7266841882,3,9,40,32,16,95,28,86,89,82,85,84,92,2.38095238095238,7.14285714285714,90,2.52,2.81,21.4758576188091,13.157730591215,44.3125618199802,22,2,0
23,11233,40.678113,-73.915211,68.5,85552.4192857143,1,1,90,8,1,92,23,87,87,85,86,82,93,5.35714285714286,3.57142857142857,87,2.27,2.3,27.2444444444444,15,0,12,1,0
6,10040,40.86082,-73.930066,70.8,34341.7849767442,5,1,5,92,2,95,10,85,79,88,67,71,84,0,8.97435897435897,89,2.78,3,20.9824561403509,15.4,54.6511627906977,13,2,0
5,10039,40.831496,-73.936154,90.3,23035.78,9,1,50,48,1,90,39,91,89,85,81,80,90,0,0,67,2.19,2.19,20.4864864864865,11.5,51.1346444780635,8,0,1
30,11102,40.768259,-73.922754,25.9,66603.51,1,45,6,9,31,96,4,94,97,95,95,93,99,0,22.7272727272727,41,3.73,3.99,23.6666666666667,18.2,50.54704595186,39,25,0
2,10003,40.73854,-73.989485,46.8,56095.12,0,36,25,16,19,96,7,98,98,92,94,84,95,0,5,25,3.21,3.65,22.3333333333333,15.4,49.645390070922,15,4,0
26,11361,40.756375,-73.77232,27.4,83295.7285136922,6,61,5,14,20,97,5,88,91,83,85,72,90,0,23.7179487179487,382,3.15,3.46,28.8502415458937,17.6,46.5533522190746,236,110,0
19,11239,40.646471,-73.881132,66.9,50875.0824049931,2,2,69,26,3,92,30,81,85,82,80,77,87,1.94174757281553,3.88349514563107,110,2.49,2.3,23.6813186813187,15.9,45.1428571428571,21,1,0
6,10032,40.839408,-73.935772,78,33657.2030681818,13,0,12,86,1,96,8,91,96,90,92,89,96,0,18.75,82,2.56,2.86,24.6046903263031,13.9676359558504,50.6060606060606,19,4,0
