"DBN","SCHOOL_NAME","BOROUGH","DISTRICT","ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COMMUNITY_SCHOOL","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
"01M034","P.S. 034 FRANKLIN D. ROOSEVELT","M",1,"730 E 12TH ST NEW YORK, NY 10009",10009,40.726147,-73.975043,"No",86,31454,7,5,29,63,4,92,28,85,78,82,73,89,88,7.27272727272727,0,0,58,2.48,2.47,19.5714285714286,9.2,45.045045045045,6,0,0
"01M140","P.S. 140 NATHAN STRAUS","M",1,"123 RIDGE ST NEW YORK, NY 10002",10002,40.719128,-73.983283,"No",84.9,34889.24,14,5,13,78,3,93,27,94,91,85,87,83,93,4.25531914893617,0,2.17391304347826,67,2.21,2.27,22.3714285714286,12.1,49.0566037735849,6,0,0
"01M184","P.S. 184M SHUANG WEN","M",1,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",10002,40.711437,-73.985486,"No",55.9,40809.9,17,71,4,12,9,98,2,90,81,91,67,83,85,50,0,40.2777777777778,88,3.24,3.63,25.7560975609756,13.9,49.8538011695906,67,23,1
"01M188","P.S. 188 THE ISLAND SCHOOL","M",1,"442 E HOUSTON ST NEW YORK, NY 10002",10002,40.71987,-73.977376,"Yes",91.7,27881.59,16,2,30,64,4,91,37,100,100,99,99,92,99,1.85185185185185,0,1.85185185185185,59,2.17,2.32,22.9333333333333,10.7,42.7251732101617,0,0,0
"01M301","TECHNOLOGY, ARTS, AND SCIENCES STUDIO","M",1,"185 1ST AVE NEW YORK, NY 10003",10003,40.729892,-73.984231,"No",79.1,NA,6,8,29,55,4,90,35,84,78,81,80,74,87,2.08333333333333,0,2.08333333333333,51,2.29,2,20.6,8.7,45.2830188679245,11,0,0
"01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL","M",1,"220 HENRY ST NEW YORK, NY 10002",10002,40.713343,-73.986069,"No",77.1,NA,15,5,27,63,4,92,26,92,96,92,96,86,96,7.40740740740741,0,7.40740740740741,68,2.26,2.2,18.0909090909091,7.7,43.3497536945813,13,0,0
"01M378","SCHOOL FOR GLOBAL LEADERS","M",1,"145 STANTON ST NEW YORK, NY 10002",10002,40.720185,-73.985957,"No",76.4,NA,8,15,22,58,2,92,27,79,87,82,77,76,88,11.5942028985507,1.44927536231884,7.2463768115942,96,2.34,2.48,17.1111111111111,9.6,43.359375,19,0,0
"01M450","EAST SIDE COMMUNITY SCHOOL","M",1,"420 E 12TH ST NEW YORK, NY 10009",10009,40.729153,-73.982474,"No",61,NA,1,11,21,53,12,97,5,92,95,92,96,88,95,11.5384615384615,2.56410256410256,6.41025641025641,94,2.82,2.9,21.1964285714286,13.1,46.4128843338214,16,0,0
"01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL","M",1,"111 COLUMBIA ST NEW YORK, NY 10002",10002,40.7195,-73.979239,"No",25.7,76833.96,0,33,9,11,42,97,3,81,73,85,55,81,74,70.4761904761905,2.67857142857143,8.57142857142857,136,3.83,4.03,28.9833333333333,18.2,47.923875432526,126,91,1
"01M839","TOMPKINS SQUARE MIDDLE SCHOOL","M",1,"600 E 6TH ST NEW YORK, NY 10009",10009,40.723747,-73.981602,"No",59.7,NA,3,23,16,37,20,96,7,90,89,88,86,83,94,23.6559139784946,0,13.9784946236559,126,2.92,3.01,30.9166666666667,12.5,53.0831099195711,66,14,1
"02M104","J.H.S. 104 SIMON BARUCH","M",2,"330 E 21ST ST NEW YORK, NY 10010",10010,40.735735,-73.980611,"No",52.2,NA,5,40,8,21,28,96,11,87,89,85,84,70,92,40.3693931398417,0.263852242744063,16.622691292876,386,3.05,3.25,29.0691823899371,16.5,46.6490299823633,260,53,1
"02M114","EAST SIDE MIDDLE SCHOOL","M",2,"331 E 91ST ST NEW YORK, NY 10028",10028,40.780646,-73.947544,"No",10.4,NA,0,15,3,9,66,98,2,92,96,92,94,82,96,82.8571428571429,0,6.42857142857143,152,3.66,3.94,27.9090909090909,15.5,54.8888888888889,124,75,1
"02M126","P.S. 126 JACOB AUGUST RIIS","M",2,"80 CATHERINE ST NEW YORK, NY 10038",10038,40.710448,-73.997001,"No",72.8,38919.61,17,59,11,21,8,96,10,91,93,91,89,82,95,42.3076923076923,0,27.8846153846154,112,2.93,3.29,28.4262295081967,14.5,46.0459183673469,66,18,1
"02M131","M.S. 131","M",2,"100 HESTER ST NEW YORK, NY 10002",10002,40.716213,-73.993555,"No",83.7,NA,35,77,8,14,0,97,9,86,92,91,86,78,95,20.7792207792208,0,0,138,2.49,3.02,23.0519480519481,12.4,43.348623853211,54,7,1
"02M167","J.H.S. 167 ROBERT F. WAGNER","M",2,"220 E 76TH ST NEW YORK, NY 10021",10021,40.771827,-73.95794,"No",36,NA,4,28,8,19,42,96,9,85,89,87,84,76,92,39.2592592592593,0.753768844221105,17.5308641975309,430,3.08,3.34,29.5555555555556,15.5,47.3053892215569,258,77,1
"02M177","YORKVILLE EAST MIDDLE SCHOOL","M",2,"1458 YORK AVE NEW YORK, NY 10075",10075,40.770203,-73.95073,"No",27.1,NA,1,11,11,30,42,96,9,99,99,88,99,92,98,42,0,8,82,3.13,3.59,25.8888888888889,11.9,49.7854077253219,42,0,0
"02M217","P.S./I.S. 217 ROOSEVELT ISLAND","M",2,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",10044,40.763969,-73.948468,"No",29.3,93388.06,7,29,16,14,36,95,10,93,95,89,88,89,92,4,0,4,21,2.9,3.01,21.5333333333333,15.5,50.974025974026,6,0,0
"02M225","ELLA BAKER SCHOOL","M",2,"317 E 67TH ST NEW YORK, NY 10021",10021,40.765368,-73.959696,"No",42.9,58096.58,3,4,19,37,35,92,26,91,91,93,82,95,90,0,0,0,21,2.71,2.75,11.7777777777778,14,49.6875,0,0,0
"02M255","M.S. 255 SALK SCHOOL OF SCIENCE","M",2,"319 E 19TH ST NEW YORK, NY 10003",10003,40.735118,-73.981697,"No",13.1,NA,0,19,3,9,63,97,5,93,97,95,96,88,98,70.2479338842975,0,4.13223140495868,131,3.75,3.63,33.3333333333333,15.7,58.0310880829015,108,70,1
"02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS","M",2,"10 E 15TH ST NEW YORK, NY 10003",10003,40.736114,-73.992352,"No",23.6,NA,1,14,6,10,65,97,2,91,90,90,87,87,95,27.906976744186,0,2.32558139534884,96,3.37,3.36,34.4705882352941,15.5,68.2119205298013,36,17,1
"02M276","BATTERY PARK CITY SCHOOL","M",2,"55 BATTERY PL NEW YORK, NY 10011",10011,40.706563,-74.017528,"No",11.4,140085.12,2,21,4,11,56,96,8,92,94,88,92,90,93,29.2134831460674,0,1.12359550561798,84,3.16,3.32,30.2222222222222,13.4,47.7629987908102,56,22,1
"02M289","I.S. 289","M",2,"201 WARREN ST NEW YORK, NY 10282",10282,40.716867,-74.013623,"No",31.3,NA,1,38,8,13,38,97,2,91,97,82,95,84,93,32.2916666666667,0,9.375,91,3.18,3.26,31.3888888888889,14.7,47.3498233215548,47,0,0
"02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES","M",2,"333 W 17TH ST NEW YORK, NY 10011",10011,40.742571,-74.002371,"No",30.8,NA,1,47,2,7,34,98,2,88,91,90,83,85,92,75.1445086705202,0,24.8554913294798,181,3.62,3.94,30.3255813953488,16.6,41.3357400722022,163,113,1
"02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL","M",2,"223 E 23RD ST NEW YORK, NY 10010",10010,40.738621,-73.981534,"No",81.2,51287.22,6,4,22,46,23,92,29,82,68,91,53,82,82,NA,NA,NA,9,2.32,2.23,12.9230769230769,4.1,51.7766497461929,0,0,0
"02M397","SPRUCE STREET SCHOOL","M",2,"12 SPRUCE ST NEW YORK, NY 10018",10018,40.711057,-74.005361,"No",5.9,143926.53,2,14,3,12,58,96,6,97,93,97,93,94,95,NA,NA,NA,56,3.29,3.58,29.28,14.7,48.9795918367347,36,10,1
"02M407","INSTITUTE FOR COLLABORATIVE EDUCATION","M",2,"345 E 15TH ST NEW YORK, NY 10003",10003,40.732676,-73.982576,"No",25.8,NA,0,7,16,16,55,96,13,94,98,90,98,89,96,50,0,0,75,3.28,2.95,25.3333333333333,19.2,46.7479674796748,21,8,1
"02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","M",2,"328 W 48TH ST NEW YORK, NY 10036",10036,40.761329,-73.988669,"No",33,NA,0,5,23,20,44,96,9,90,86,84,85,75,91,45.8333333333333,0,4,33,3.44,3.38,30.3636363636364,19.5,74.8672566371681,9,0,0
